,type,size,x_size,y_size,t_1,t_2,t_3,t_4,t_5,t_6,t_7,t_8,t_9,t_10,t_11,t_12,t_13,t_14,t_15,t_16,t_17,t_18,t_19,t_20
0,static,1,1024,768,1.375335,1.386588,1.480480,1.399795,1.620587,1.535314,1.495299,1.415556,1.934194,1.626953,1.566079,1.489490,1.498874,1.579035,1.521586,1.559192,1.581334,1.421217,1.498828,1.530678
1,static,2,1024,768,1.549737,1.466950,1.430273,1.507540,1.439555,1.501998,1.495356,1.450053,1.529356,1.510833,1.528427,1.510428,1.461245,1.696677,1.495543,1.480754,1.454995,1.418736,1.450106,1.424714
2,static,4,1024,768,1.486046,1.460328,1.480260,1.439693,1.417553,1.450656,1.448338,1.417361,1.508774,1.540608,1.532427,1.483682,1.481827,1.479880,1.420779,1.420250,1.448975,1.430021,1.429758,1.413298
3,static,8,1024,768,1.452120,1.525939,1.432158,1.440941,1.471545,1.420468,1.436276,1.428155,1.535509,1.496418,1.558878,1.500998,1.472045,1.479325,1.429022,1.425356,1.440236,1.422886,1.535460,1.522631
4,static,16,1024,768,1.540968,1.483262,1.423803,1.447421,1.458266,1.426670,1.496080,1.533187,1.453405,1.522284,1.458276,1.745028,1.826615,1.564286,1.564678,1.510346,1.437616,1.491587,1.424904,1.480815
5,static,32,1024,768,1.533797,1.515310,1.470277,1.448594,1.718607,1.510658,1.474734,1.595092,1.576742,1.504959,1.449009,1.443886,1.474620,1.439529,1.504324,1.485531,1.505073,1.483010,1.487566,1.447244
6,static,64,1024,768,1.506408,1.500829,1.600639,1.524150,1.537271,1.733972,1.566523,1.476959,1.547094,1.532994,1.572357,1.589117,1.686805,1.609576,1.613651,1.602752,1.508831,1.478055,1.857937,1.720411
7,static,128,1024,768,1.729128,1.490645,1.549749,1.542774,1.505313,1.550076,1.527712,1.506490,1.527566,1.523572,1.531284,1.475176,1.515327,1.539799,1.508988,1.568127,1.691811,1.595343,1.758186,1.553306
8,static,256,1024,768,1.927753,1.937074,1.884036,1.885610,1.872166,1.949383,1.947976,1.894512,1.888135,1.884013,1.871603,1.875284,1.887965,1.892253,1.899410,1.879265,1.872588,1.904557,1.907480,1.883071
